FIPS,State,County,Voter Turnout % Voter Turnout,Census Participation % Census Participation
2198,Alaska,Prince of Wales-Hyder,,28.5
2201,Alaska,Prince of Wales-Outer Ketchikan,,
2220,Alaska,Sitka,,55.2
2230,Alaska,Skagway,,36.5
2232,Alaska,Skagway-Hoonah-Angoon,,
2240,Alaska,Southeast Fairbanks,,17.5
2261,Alaska,Valdez-Cordova,,
2270,Alaska,Wade Hampton,,
2275,Alaska,Wrangell,,32.3
2280,Alaska,Wrangell-Petersburg,,
2282,Alaska,Yakutat,,20.9
2290,Alaska,Yukon-Koyukuk,,1.9
4000,Arizona,,67.076758566,
4001,Arizona,Apache,67.534562212,25.2
4003,Arizona,Cochise,64.010590416,60.4
4005,Arizona,Coconino,66.51416122,45.5
4007,Arizona,Gila,65.348452634,43.0
4009,Arizona,Graham,54.477747502,54.7
4011,Arizona,Greenlee,54.836309524,38.5
4012,Arizona,La Paz,45.838967425,25.4
4013,Arizona,Maricopa,68.560820286,66.3
4015,Arizona,Mohave,62.080664294,58.8
4017,Arizona,Navajo,64.919739152,33.6
4019,Arizona,Pima,68.293569554,66.4
4021,Arizona,Pinal,56.756159676,56.6
4023,Arizona,Santa Cruz,69.090266737,55.4
4025,Arizona,Yavapai,75.848537005,63.8
4027,Arizona,Yuma,53.534301145,48.1
5000,Arkansas,,54.92588354,
5001,Arkansas,Arkansas,46.29874908,50.7
5003,Arkansas,Ashley,52.681954138,52.6
5005,Arkansas,Baxter,61.432958035,64.2
5007,Arkansas,Benton,66.063577764,67.5
5009,Arkansas,Boone,59.382373352,63.2
5011,Arkansas,Bradley,47.640156454,45.6
5013,Arkansas,Calhoun,52.200956938,40.1
5015,Arkansas,Carroll,58.113300493,56.3
5017,Arkansas,Chicot,51.772870662,43.3
5019,Arkansas,Clark,47.255840135,53.4
5021,Arkansas,Clay,45.089169204,56.2
5023,Arkansas,Cleburne,63.115978099,50.6
5025,Arkansas,Cleveland,57.738572574,52.9
5027,Arkansas,Columbia,46.686534814,51.0
5029,Arkansas,Conway,54.657016992,61.4
5031,Arkansas,Craighead,48.646497821,62.9
5033,Arkansas,Crawford,51.914664368,59.5
5035,Arkansas,Crittenden,47.194348328,55.8
5037,Arkansas,Cross,56.187778227,56.0
5039,Arkansas,Dallas,47.430617726,43.4
5041,Arkansas,Desha,50.350665054,47.9
5043,Arkansas,Drew,48.647887324,54.3
5045,Arkansas,Faulkner,58.594035957,66.4
5047,Arkansas,Franklin,52.227106227,59.0
5049,Arkansas,Fulton,52.664609053,49.0
5051,Arkansas,Garland,57.701044386,58.7
5053,Arkansas,Grant,58.739255014,55.1
5055,Arkansas,Greene,47.415697246,65.6
5057,Arkansas,Hempstead,45.097135331,50.2
5059,Arkansas,Hot Spring,47.76340814,59.7
5061,Arkansas,Howard,52.946330778,50.6
5063,Arkansas,Independence,52.051649928,62.7
5065,Arkansas,Izard,52.014324082,40.1
5067,Arkansas,Jackson,37.753058954,51.8
5069,Arkansas,Jefferson,47.747200607,54.4
5071,Arkansas,Johnson,51.396103896,44.7
5073,Arkansas,Lafayette,49.981343284,39.8
5075,Arkansas,Lawrence,45.722092116,57.3
5077,Arkansas,Lee,39.418685121,46.2
5079,Arkansas,Lincoln,35.730751498,43.8
5081,Arkansas,Little River,54.039665971,49.3
5083,Arkansas,Logan,48.943766736,52.6
5085,Arkansas,Lonoke,57.045581395,67.0
5087,Arkansas,Madison,59.426030719,44.2
5089,Arkansas,Marion,55.598369767,46.0
5091,Arkansas,Miller,50.501069355,52.3
5093,Arkansas,Mississippi,41.071547421,48.8
5095,Arkansas,Monroe,51.860036832,40.4
5097,Arkansas,Montgomery,54.47257384,41.4
5099,Arkansas,Nevada,52.63322884,51.4
5101,Arkansas,Newton,64.380032206,34.4
5103,Arkansas,Ouachita,53.008532893,55.2
5105,Arkansas,Perry,57.657320872,54.0
5107,Arkansas,Phillips,46.25416821,45.9
5109,Arkansas,Pike,52.452130945,44.9
5111,Arkansas,Poinsett,41.993299832,57.5
5113,Arkansas,Polk,57.114026236,53.3
5115,Arkansas,Pope,51.729832733,64.4
5117,Arkansas,Prairie,54.186046512,45.7
5119,Arkansas,Pulaski,58.661144188,62.6
5121,Arkansas,Randolph,50.609212481,59.4
5123,Arkansas,St. Francis,36.943866944,45.3
5125,Arkansas,Saline,62.79241539,64.3
5127,Arkansas,Scott,45.760309278,44.7
5129,Arkansas,Searcy,63.591772152,43.4
5131,Arkansas,Sebastian,51.507867133,64.6
5133,Arkansas,Sevier,51.555996036,53.2
5135,Arkansas,Sharp,55.652813534,52.9
5137,Arkansas,Stone,58.850346878,47.3
5139,Arkansas,Union,56.892771497,56.9
5141,Arkansas,Van Buren,59.211224877,44.0
5143,Arkansas,Washington,57.988435039,64.8
5145,Arkansas,White,52.458598726,60.9
5147,Arkansas,Woodruff,48.74015748,41.8
5149,Arkansas,Yell,45.562690098,49.1
6000,California,,67.89890246,
6001,California,Alameda,70.58904411,73.0
6003,California,Alpine,83.728813559,28.3
6005,California,Amador,69.364018038,59.8
6007,California,Butte,59.729634831,53.5
6009,California,Calaveras,72.679598662,51.0
6011,California,Colusa,62.883096367,56.8
6013,California,Contra Costa,75.107852321,75.3
6015,California,Del Norte,55.841053145,59.7
6017,California,El Dorado,79.801456444,54.7
6019,California,Fresno,60.455257076,66.2
6021,California,Glenn,64.68365302,64.1
6023,California,Humboldt,64.38137099,60.8
6025,California,Imperial,54.874522509,59.1
6027,California,Inyo,69.837997054,53.5
6029,California,Kern,57.626184454,60.8
6031,California,Kings,47.051062004,65.0
6033,California,Lake,59.925124792,49.0
6035,California,Lassen,48.976506639,50.6
6037,California,Los Angeles,66.969211562,63.2
6039,California,Madera,57.559721478,60.9
6041,California,Marin,84.034837005,74.5
6043,California,Mariposa,73.089228582,50.8
6045,California,Mendocino,69.460693966,54.3
6047,California,Merced,59.512355415,64.8
6049,California,Modoc,63.867647059,48.4
6051,California,Mono,66.156111929,22.3
6053,California,Monterey,69.230087001,63.6
6055,California,Napa,74.988307436,69.5
6057,California,Nevada,81.257451214,61.3
6059,California,Orange,72.672076085,73.8
6061,California,Placer,80.819596046,66.9
6063,California,Plumas,72.8802589,40.0
6065,California,Riverside,62.712241753,65.4
6067,California,Sacramento,68.092446652,72.8
6069,California,San Benito,72.65625,66.3
6071,California,San Bernardino,60.771995737,64.1
6073,California,San Diego,69.764402864,71.7
6075,California,San Francisco,67.959765272,64.8
6077,California,San Joaquin,61.681811379,66.2
6079,California,San Luis Obispo,72.496765847,67.5
6081,California,San Mateo,74.023359079,76.1
6083,California,Santa Barbara,70.560535353,69.9
6085,California,Santa Clara,72.53930764,74.9
6087,California,Santa Cruz,74.544893075,70.0
6089,California,Shasta,68.320835171,65.7
6091,California,Sierra,79.301848049,44.0
6093,California,Siskiyou,69.2900369,56.6
6095,California,Solano,65.752291527,70.7
6097,California,Sonoma,75.15145574,69.0
6099,California,Stanislaus,62.526615859,69.3
6101,California,Sutter,68.653304355,69.6
6103,California,Tehama,61.853606028,62.8
6105,California,Trinity,61.003898635,30.2
6107,California,Tulare,56.258378337,63.1
6109,California,Tuolumne,68.478774913,55.7
6111,California,Ventura,74.190888115,74.6
6113,California,Yolo,65.592934673,71.6
6115,California,Yuba,56.884306987,61.7
8000,Colorado,,78.960032258,
8001,Colorado,Adams,71.587541578,69.5
8003,Colorado,Alamosa,67.925184863,54.3
8005,Colorado,Arapahoe,77.840066685,74.0
8007,Colorado,Archuleta,83.240782886,43.4
8009,Colorado,Baca,81.801470588,49.5
8011,Colorado,Bent,48.58974359,57.7
8013,Colorado,Boulder,83.618402369,74.9
8014,Colorado,Broomfield,91.38154027,75.7
8015,Colorado,Chaffee,82.663452847,58.2
8017,Colorado,Cheyenne,83.837638376,51.1
8019,Colorado,Clear Creek,82.99112801,59.6
8021,Colorado,Conejos,72.946127946,43.1
8023,Colorado,Costilla,69.337748344,27.7
8025,Colorado,Crowley,36.64921466,58.7
8027,Colorado,Custer,87.170263789,40.1
8029,Colorado,Delta,80.473618612,65.5
8031,Colorado,Denver,75.115917565,67.4
8033,Colorado,Dolores,90.5625,41.4
8035,Colorado,Douglas,94.716286678,78.4
8037,Colorado,Eagle,76.937293729,41.3
8039,Colorado,Elbert,93.37432366,73.6
8041,Colorado,El Paso,72.874880979,72.4
8043,Colorado,Fremont,64.725845258,65.5
8045,Colorado,Garfield,79.814049587,66.0
8047,Colorado,Gilpin,84.140703518,54.4
8049,Colorado,Grand,78.96,33.1
8051,Colorado,Gunnison,80.706815723,39.4
8053,Colorado,Hinsdale,95.037593985,21.5
8055,Colorado,Huerfano,78.051372896,41.3
8057,Colorado,Jackson,78.565022422,33.4
8059,Colorado,Jefferson,84.022577736,78.5
8061,Colorado,Kiowa,86.0,52.3
8063,Colorado,Kit Carson,75.753424658,58.0
8065,Colorado,Lake,66.12687813,51.6
8067,Colorado,La Plata,79.101796407,60.0
8069,Colorado,Larimer,82.357605683,69.4
8071,Colorado,Las Animas,70.048394193,50.7
8073,Colorado,Lincoln,61.365740741,53.4
8075,Colorado,Logan,59.772985244,68.3
8077,Colorado,Mesa,77.588184932,72.1
8079,Colorado,Mineral,100.0,27.7
8081,Colorado,Moffat,76.038961039,57.5
8083,Colorado,Montezuma,77.287459486,63.2
8085,Colorado,Montrose,78.12539185,68.2
8087,Colorado,Morgan,72.912466844,64.2
8089,Colorado,Otero,70.828402367,61.4
8091,Colorado,Ouray,97.454545455,50.5
8093,Colorado,Park,79.682333874,33.9
8095,Colorado,Phillips,92.037037037,69.7
8097,Colorado,Pitkin,85.072927784,40.8
8099,Colorado,Prowers,67.0,53.5
8101,Colorado,Pueblo,69.481842861,57.2
8103,Colorado,Rio Blanco,77.787144362,43.7
8105,Colorado,Rio Grande,77.078239609,49.6
8107,Colorado,Routt,83.051181102,44.9
8109,Colorado,Saguache,67.308838133,38.7
8111,Colorado,San Juan,100.0,32.8
8113,Colorado,San Miguel,82.286171063,37.2
8115,Colorado,Sedgwick,88.440366972,57.4
8117,Colorado,Summit,77.480083857,33.3
8119,Colorado,Teller,82.871819961,42.9
8121,Colorado,Washington,80.969044415,58.6
8123,Colorado,Weld,77.045957918,68.7
8125,Colorado,Yuma,76.571867794,64.1
9000,Connecticut,,69.724235085,
9001,Connecticut,Fairfield,74.099008659,68.3
9003,Connecticut,Hartford,68.770479886,70.3
9005,Connecticut,Litchfield,75.287199412,68.1
9007,Connecticut,Middlesex,76.71629094,71.4
9009,Connecticut,New Haven,65.697871805,67.1
9011,Connecticut,New London,67.739337183,69.8
9013,Connecticut,Tolland,67.413346697,74.0
9015,Connecticut,Windham,62.921075838,67.5
10000,Delaware,,69.741965817,
10001,Delaware,Kent,65.138473054,68.1
10003,Delaware,New Castle,70.098824103,68.7
10005,Delaware,Sussex,72.168940218,56.3
11000,District of Columbia,,65.215851522,61.3
11001,District of Columbia,District of Columbia,65.215851522,61.3
12000,Florida,,72.351753495,
12001,Florida,Alachua,68.979127869,63.1
12003,Florida,Baker,64.579696831,55.3
12005,Florida,Bay,68.002485471,47.3
12007,Florida,Bradford,61.907356948,53.6
12009,Florida,Brevard,76.840860925,70.6
12011,Florida,Broward,73.702794431,62.0
12013,Florida,Calhoun,58.189924209,44.7
12015,Florida,Charlotte,73.97234144,64.5
12017,Florida,Citrus,75.499574744,66.6
12019,Florida,Clay,77.479525426,67.9
12021,Florida,Collier,77.646882998,56.5
12023,Florida,Columbia,60.694342395,53.3
12027,Florida,DeSoto,47.941677713,47.1
12029,Florida,Dixie,60.856929955,30.5
12031,Florida,Duval,71.031485792,66.3
12033,Florida,Escambia,69.831745056,63.4
12035,Florida,Flagler,79.59600444,70.5
12037,Florida,Franklin,69.852116267,33.4
12039,Florida,Gadsden,68.96531708,55.0
12041,Florida,Gilchrist,70.028922632,58.2
12043,Florida,Glades,47.338195077,34.5
12045,Florida,Gulf,65.434869739,37.3
12047,Florida,Hamilton,51.615759185,43.5
12049,Florida,Hardee,45.741239892,45.1
12051,Florida,Hendry,53.415892673,43.2
12053,Florida,Hernando,71.760714168,70.6
12055,Florida,Highlands,64.359733531,59.6
12057,Florida,Hillsborough,70.120829558,64.3
12059,Florida,Holmes,58.825819007,50.3
12061,Florida,Indian River,78.093407034,68.5
12063,Florida,Jackson,59.129632072,55.6
12065,Florida,Jefferson,72.728055077,51.9
12067,Florida,Lafayette,55.847328244,43.8
12069,Florida,Lake,76.944980519,63.1
12071,Florida,Lee,69.564580077,60.7
12073,Florida,Leon,71.062697634,61.4
12075,Florida,Levy,71.834264432,53.3
12077,Florida,Liberty,53.188946975,31.4
12079,Florida,Madison,63.744478423,44.8
12081,Florida,Manatee,72.971209471,59.9
12083,Florida,Marion,71.967181365,65.4
12085,Florida,Martin,77.377537425,67.3
12086,Florida,Miami-Dade,71.633022069,61.5
12087,Florida,Monroe,84.150678931,47.0
12089,Florida,Nassau,86.972789116,63.0
12091,Florida,Okaloosa,75.028529061,60.5
12093,Florida,Okeechobee,52.950547627,48.2
12095,Florida,Orange,68.906379718,62.9
12097,Florida,Osceola,71.031471412,56.7
12099,Florida,Palm Beach,73.918152137,63.4
12101,Florida,Pasco,73.617104269,66.0
12103,Florida,Pinellas,72.45032684,66.4
12105,Florida,Polk,66.746910639,61.0
12107,Florida,Putnam,64.870697343,52.4
12109,Florida,St. Johns,91.096268407,70.7
12111,Florida,St. Lucie,72.623697642,65.7
12113,Florida,Santa Rosa,77.97564355,70.5
12115,Florida,Sarasota,77.814045784,66.1
12117,Florida,Seminole,75.383325867,72.0
12119,Florida,Sumter,78.280925981,71.0
12121,Florida,Suwannee,62.913056468,55.2
12123,Florida,Taylor,58.826604705,38.6
12125,Florida,Union,51.042092358,53.5
12127,Florida,Volusia,70.518384292,65.2
12129,Florida,Wakulla,71.904668881,63.5
12131,Florida,Walton,79.554099554,34.2
12133,Florida,Washington,62.336283186,54.0
13000,Georgia,,66.823569663,
13001,Georgia,Appling,62.832391714,44.6
13003,Georgia,Atkinson,60.498561841,34.5
13005,Georgia,Bacon,57.951582868,52.1
13007,Georgia,Baker,62.575452716,39.0
13009,Georgia,Baldwin,50.598835597,48.1
13011,Georgia,Banks,62.774607703,62.8
13013,Georgia,Barrow,66.510567395,71.4
13015,Georgia,Bartow,64.79265631,64.1
13017,Georgia,Ben Hill,53.333333333,46.1
13019,Georgia,Berrien,54.07122905,50.6
13021,Georgia,Bibb,62.197039575,51.3
13023,Georgia,Bleckley,55.7771261,55.7
13025,Georgia,Brantley,54.491734084,42.3
13027,Georgia,Brooks,60.093101989,44.3
13029,Georgia,Bryan,81.002087683,64.7
13031,Georgia,Bulloch,49.80794702,52.0
13033,Georgia,Burke,64.673123487,44.2
13035,Georgia,Butts,61.579911065,61.8
13037,Georgia,Calhoun,43.967935872,37.0
13039,Georgia,Camden,59.450370184,61.5
13043,Georgia,Candler,58.37944664,52.0
13045,Georgia,Carroll,62.541905855,63.5
13047,Georgia,Catoosa,63.726659498,68.7
13049,Georgia,Charlton,46.734902764,44.7
13051,Georgia,Chatham,61.012918715,58.8
13053,Georgia,Chattahoochee,19.42295887,44.4
13055,Georgia,Chattooga,54.017737167,51.7
13057,Georgia,Cherokee,80.687484331,65.3
13059,Georgia,Clarke,52.616851169,59.7
13061,Georgia,Clay,61.413276231,32.5
13063,Georgia,Clayton,59.265667862,58.8
13065,Georgia,Clinch,58.628454452,42.5
13067,Georgia,Cobb,75.275247335,68.8
13069,Georgia,Coffee,49.164646954,46.3
13071,Georgia,Colquitt,52.644844517,49.6
13073,Georgia,Columbia,72.721447588,72.2
13075,Georgia,Cook,56.122856003,52.9
13077,Georgia,Coweta,72.802161342,70.6
13079,Georgia,Crawford,62.648870637,54.0
13081,Georgia,Crisp,47.525864617,48.8
13083,Georgia,Dade,57.427578216,52.4
13085,Georgia,Dawson,80.244510978,63.0
13087,Georgia,Decatur,59.427549195,46.5
13089,Georgia,DeKalb,70.989010989,63.2
13091,Georgia,Dodge,48.849878935,46.7
13093,Georgia,Dooly,37.939001848,36.6
13095,Georgia,Dougherty,53.19523953,57.8
13097,Georgia,Douglas,67.685752069,67.1
13099,Georgia,Early,68.070866142,41.1
13101,Georgia,Echols,50.12173913,40.0
13103,Georgia,Effingham,70.539604513,65.6
13105,Georgia,Elbert,62.00811359,56.4
13107,Georgia,Emanuel,57.494704992,50.1
13109,Georgia,Evans,57.006711409,46.1
13111,Georgia,Fannin,69.538749707,39.8
13113,Georgia,Fayette,87.137496974,74.6
13115,Georgia,Floyd,58.966444853,62.4
13117,Georgia,Forsyth,85.908381224,74.6
13119,Georgia,Franklin,61.199545196,54.4
13121,Georgia,Fulton,69.66750322,61.2
13123,Georgia,Gilmer,69.0267335,47.5
13125,Georgia,Glascock,67.35483871,48.2
13127,Georgia,Glynn,65.324412634,57.9
13129,Georgia,Gordon,59.472902747,61.2
13131,Georgia,Grady,61.605293441,49.6
13133,Georgia,Greene,80.335714286,58.3
13135,Georgia,Gwinnett,73.593008162,69.1
13137,Georgia,Habersham,62.131670975,61.3
13139,Georgia,Hall,70.290018247,63.1
13141,Georgia,Hancock,56.056527591,27.0
13143,Georgia,Haralson,63.550401427,62.2
13145,Georgia,Harris,73.999629835,65.9
13147,Georgia,Hart,62.341415626,58.6
13149,Georgia,Heard,60.100334448,62.3
13151,Georgia,Henry,74.209189843,69.4
13153,Georgia,Houston,66.669339749,68.4
13155,Georgia,Irwin,56.823449216,48.2
13157,Georgia,Jackson,73.696566566,69.4
13159,Georgia,Jasper,72.35210601,59.7
13161,Georgia,Jeff Davis,52.463636364,49.4
13163,Georgia,Jefferson,65.709372313,51.4
13165,Georgia,Jenkins,51.83795949,26.9
13167,Georgia,Johnson,52.196053469,48.5
13169,Georgia,Jones,68.478609014,63.4
13171,Georgia,Lamar,61.115618661,63.3
13173,Georgia,Lanier,44.47761194,44.1
13175,Georgia,Laurens,64.306125336,54.9
13177,Georgia,Lee,76.952117864,69.7
13179,Georgia,Liberty,49.67831843,54.6
13181,Georgia,Lincoln,74.4,51.7
13183,Georgia,Long,42.005198663,45.5
13185,Georgia,Lowndes,53.617488867,54.0
13187,Georgia,Lumpkin,58.585439457,64.1
13189,Georgia,McDuffie,66.108125198,59.3
13191,Georgia,McIntosh,56.434892541,36.5
13193,Georgia,Macon,44.484732824,42.0
13195,Georgia,Madison,66.922043011,62.2
13197,Georgia,Marion,56.625,36.8
13199,Georgia,Meriwether,65.861338177,55.5
13201,Georgia,Miller,64.652223489,54.2
13205,Georgia,Mitchell,53.574417215,51.7
13207,Georgia,Monroe,72.825782345,60.6
13209,Georgia,Montgomery,56.576319544,47.3
13211,Georgia,Morgan,81.581881533,61.9
13213,Georgia,Murray,54.960714286,51.8
13215,Georgia,Muscogee,56.258862152,58.6
13217,Georgia,Newton,69.292877675,66.5
13219,Georgia,Oconee,90.548659831,69.0
13221,Georgia,Oglethorpe,69.883970778,61.1
13223,Georgia,Paulding,72.668085106,71.6
13225,Georgia,Peach,59.894962998,59.0
13227,Georgia,Pickens,67.893692979,57.5
13229,Georgia,Pierce,63.673469388,57.7
13231,Georgia,Pike,75.786496995,67.4
13233,Georgia,Polk,58.919742635,49.6
13235,Georgia,Pulaski,44.409190372,48.0
13237,Georgia,Putnam,69.226277372,50.9
13239,Georgia,Quitman,57.905759162,29.4
13241,Georgia,Rabun,71.429637925,42.6
13243,Georgia,Randolph,60.992063492,38.9
13245,Georgia,Richmond,56.910398954,59.0
13247,Georgia,Rockdale,68.954555976,60.0
13249,Georgia,Schley,56.946182728,48.4
13251,Georgia,Screven,60.199818347,48.7
13253,Georgia,Seminole,59.707916987,39.6
13255,Georgia,Spalding,60.626069451,62.8
13257,Georgia,Stephens,59.559007767,56.2
13259,Georgia,Stewart,50.571791614,37.0
13261,Georgia,Sumter,54.989816701,55.4
13263,Georgia,Talbot,67.795957652,37.9
13265,Georgia,Taliaferro,69.253731343,40.7
13267,Georgia,Tattnall,43.091100579,42.8
13269,Georgia,Taylor,60.409126672,39.7
13271,Georgia,Telfair,37.09760274,36.1
13273,Georgia,Terrell,68.838659392,44.0
13275,Georgia,Thomas,65.614772557,58.0
13277,Georgia,Tift,56.090251464,56.6
13279,Georgia,Toombs,57.929936306,49.2
13281,Georgia,Towns,77.730150999,48.9
13283,Georgia,Treutlen,60.991080278,50.3
13285,Georgia,Troup,58.404275996,61.8
13287,Georgia,Turner,64.654731458,51.3
13289,Georgia,Twiggs,68.159509202,45.9
13291,Georgia,Union,78.17131374,54.9
13293,Georgia,Upson,64.525,62.6
13295,Georgia,Walker,54.429816429,59.2
13297,Georgia,Walton,74.52596266,70.3
13299,Georgia,Ware,52.817268329,54.0
13301,Georgia,Warren,64.033816425,49.2
13303,Georgia,Washington,60.171755725,46.7
13305,Georgia,Wayne,57.636445647,54.4
13307,Georgia,Webster,69.326683292,45.8
13309,Georgia,Wheeler,35.04601227,34.5
13311,Georgia,White,61.084312513,53.2
13313,Georgia,Whitfield,56.737435343,56.5
13315,Georgia,Wilcox,48.14380044,41.2
13317,Georgia,Wilkes,66.919494345,44.6
13319,Georgia,Wilkinson,70.824053452,47.9
13321,Georgia,Worth,59.177820268,52.3
15000,Hawaii,,56.812883691,
15001,Hawaii,Hawaii,60.208433322,49.0
15003,Hawaii,Honolulu,54.209245742,66.2
15005,Hawaii,Kalawao,,14.6
15007,Hawaii,Kauai,64.759787337,54.7
15009,Hawaii,Maui,60.391023461,52.1
16000,Idaho,,69.141873969,
16001,Idaho,Ada,74.557422285,76.6
16003,Idaho,Adams,74.310344828,46.6
16005,Idaho,Bannock,63.396377625,71.3
16007,Idaho,Bear Lake,75.084937712,49.0
16009,Idaho,Benewah,69.94374121,53.2
16011,Idaho,Bingham,65.133550489,68.3
16013,Idaho,Blaine,83.71023622,41.8
16015,Idaho,Boise,76.751592357,46.2
16017,Idaho,Bonner,77.184808697,49.5
16019,Idaho,Bonneville,69.273205465,73.8
16021,Idaho,Boundary,69.183561644,55.0
16023,Idaho,Butte,69.362745098,48.1
16025,Idaho,Camas,93.086419753,27.6
16027,Idaho,Canyon,59.911865081,74.0
16029,Idaho,Caribou,71.240875912,57.3
16031,Idaho,Cassia,64.885444744,60.2
16033,Idaho,Clark,67.608695652,34.0
16035,Idaho,Clearwater,62.547770701,46.7
16037,Idaho,Custer,80.204978038,34.9
16039,Idaho,Elmore,53.852242744,59.8
16041,Idaho,Franklin,72.870420995,71.3
16043,Idaho,Fremont,73.471842537,39.0
16045,Idaho,Gem,75.69745344,74.3
16047,Idaho,Gooding,62.791904515,57.5
16049,Idaho,Idaho,72.440588457,49.5
16051,Idaho,Jefferson,75.649853216,66.6
16053,Idaho,Jerome,57.695716396,64.7
16055,Idaho,Kootenai,72.560421736,69.6
16057,Idaho,Latah,65.301587302,69.0
16059,Idaho,Lemhi,73.858144973,57.6
16061,Idaho,Lewis,63.175675676,42.3
16063,Idaho,Lincoln,61.78343949,51.1
16065,Idaho,Madison,61.256488276,63.9
16067,Idaho,Minidoka,61.93723363,62.3
16069,Idaho,Nez Perce,66.183712121,72.1
16071,Idaho,Oneida,80.891089109,62.4
16073,Idaho,Owyhee,60.215873016,54.7
16075,Idaho,Payette,68.359564165,73.6
16077,Idaho,Power,66.107526882,59.1
16079,Idaho,Shoshone,60.159124814,56.9
16081,Idaho,Teton,77.026699029,46.3
16083,Idaho,Twin Falls,62.78121775,69.0
16085,Idaho,Valley,76.855277476,32.5
16087,Idaho,Washington,72.80653951,70.6
17000,Illinois,,66.565314067,
17001,Illinois,Adams,66.285092922,72.7
17003,Illinois,Alexander,56.301075269,44.9
17005,Illinois,Bond,61.494903737,69.4
17007,Illinois,Boone,66.905048882,77.6
