FIPS,State,County,Preventable Hospital Stays Preventable Hospitalization Rate,Preventable Hospital Stays National Z-Score,Preventable Hospital Stays Preventable Hosp. Rate (AIAN),Preventable Hospital Stays Preventable Hosp. Rate (Asian),Preventable Hospital Stays Preventable Hosp. Rate (Black),Preventable Hospital Stays Preventable Hosp. Rate (Hispanic),Preventable Hospital Stays Preventable Hosp. Rate (White)
36033,New York,Franklin,2905,0.0545814214,3760,,,,2857
36035,New York,Fulton,3009,0.1477311824,,,922,,2982
36037,New York,Genesee,2505,-0.30368689,,,811,12798,2361
36039,New York,Greene,2495,-0.312643598,,,3403,,2481
36041,New York,Hamilton,2973,0.1154870343,,,,,
36043,New York,Herkimer,3002,0.1414614869,,,,,
36045,New York,Jefferson,2983,0.1244437421,,,11888,,2916
36047,New York,Kings,3012,0.1504181947,5725,2065,3978,3871,2443
36049,New York,Lewis,3492,0.5803401686,,,,,
36051,New York,Livingston,2609,-0.210537129,,,,,
36053,New York,Madison,2431,-0.369966528,,,,,
36055,New York,Monroe,3347,0.4504679056,,2319,6779,5976,2755
36057,New York,Montgomery,3088,0.2184891739,,,,,
36059,New York,Nassau,2288,-0.498047449,,1661,3840,2496,2130
36061,New York,New York,2069,-0.69419935,,1293,4575,3319,1439
36063,New York,Niagara,2439,-0.362801162,,,4977,712,2298
36065,New York,Oneida,2578,-0.238302923,,2592,4175,4581,2479
36067,New York,Onondaga,2862,0.0160675779,5259,1673,5500,2695,2674
36069,New York,Ontario,2956,0.1002606311,,,1946,4133,2955
36071,New York,Orange,3121,0.2480463096,,1501,3557,3210,3075
36073,New York,Orleans,2582,-0.23472024,,,,,
36075,New York,Oswego,3465,0.5561570576,,,,,
36077,New York,Otsego,2453,-0.350261771,,,,5424,2399
36079,New York,Putnam,2232,-0.548205013,,,,2627,2237
36081,New York,Queens,2605,-0.214119812,2317,2052,3728,2451,2356
36083,New York,Rensselaer,2517,-0.292938841,,,4186,622,2469
36085,New York,Richmond,2585,-0.232033228,,1418,3984,2959,2503
36087,New York,Rockland,2445,-0.357427137,,1487,3342,2945,2349
36089,New York,St. Lawrence,3247,0.3609008277,1556,,,,3232
36091,New York,Saratoga,2309,-0.479238363,,,1218,,2320
36093,New York,Schenectady,2158,-0.614484651,,1031,3884,,2098
36095,New York,Schoharie,2696,-0.132613771,,,,,
36097,New York,Schuyler,2489,-0.318017623,,,,,
36099,New York,Seneca,3436,0.530182605,,,,,
36101,New York,Steuben,2308,-0.480134034,,,2444,,2280
36103,New York,Suffolk,2752,-0.082456208,3273,1943,4168,2965,2669
36105,New York,Sullivan,2971,0.1136956928,,2386,3243,2645,2958
36107,New York,Tioga,3399,0.4970427861,,,,,
36109,New York,Tompkins,1930,-0.818697588,,,918,,1918
36111,New York,Ulster,2624,-0.197102068,,890,4093,4987,2491
36113,New York,Warren,2697,-0.131718101,,,,,
36115,New York,Washington,3003,0.1423571577,,,,,
36117,New York,Wayne,4221,1.2332841664,,,7261,629,4198
36119,New York,Westchester,2373,-0.421915433,,1552,3888,3087,2085
36121,New York,Wyoming,3239,0.3537354615,,,,,
36123,New York,Yates,2151,-0.620754346,,,,,
37000,North Carolina,,2838,,,,,,
37001,North Carolina,Alamance,2980,0.1217567298,,,3665,1668,2784
37003,North Carolina,Alexander,3142,0.266855396,,,3556,,3056
37005,North Carolina,Alleghany,2368,-0.426393787,,,,,
37007,North Carolina,Anson,4260,1.2682153268,,,4790,,3705
37009,North Carolina,Ashe,2422,-0.378027565,,,,,
37011,North Carolina,Avery,1805,-0.930656435,,,,,
37013,North Carolina,Beaufort,3241,0.3555268031,,,6045,,2406
37015,North Carolina,Bertie,3865,0.9144253691,,,4197,,3282
37017,North Carolina,Bladen,3592,0.6699072465,,,4166,,3290
37019,North Carolina,Brunswick,1995,-0.760478987,,,3856,3868,1870
37021,North Carolina,Buncombe,1765,-0.966483267,,,3192,,1716
37023,North Carolina,Burke,2221,-0.558057391,,841,3036,,2125
37025,North Carolina,Cabarrus,3761,0.8212756081,,,4804,1643,3725
37027,North Carolina,Caldwell,2776,-0.060960109,,,5170,,2751
37029,North Carolina,Camden,3298,0.4065800375,,,,,
37031,North Carolina,Carteret,3217,0.3340307044,,,4274,,3212
37033,North Carolina,Caswell,2574,-0.241885606,,,3195,,2182
37035,North Carolina,Catawba,2187,-0.588510198,,291,3623,,2137
37037,North Carolina,Chatham,1959,-0.792723136,,,679,,2004
37039,North Carolina,Cherokee,2143,-0.627919712,2367,,,,2099
37041,North Carolina,Chowan,1685,-1.038136929,,,484,,1681
37043,North Carolina,Clay,1335,-1.351621702,,,,,
37045,North Carolina,Cleveland,3706,0.7720137153,,,5522,,3458
37047,North Carolina,Columbus,4496,1.4795936306,,,5183,,4348
37049,North Carolina,Craven,2674,-0.152318529,,1877,4121,,2406
37051,North Carolina,Cumberland,3649,0.7209604809,2553,1797,4511,3005,3271
37053,North Carolina,Currituck,3739,0.801570851,,,4456,,3664
37055,North Carolina,Dare,1296,-1.386552862,,,,,
37057,North Carolina,Davidson,3193,0.3125346057,,,5264,,3061
37059,North Carolina,Davie,2935,0.0814515447,,,,3789,2965
37061,North Carolina,Duplin,3266,0.3779185725,,,3010,6232,3357
37063,North Carolina,Durham,2583,-0.233824569,,984,3448,1912,2232
37065,North Carolina,Edgecombe,2963,0.1065303265,,,3144,,2781
37067,North Carolina,Forsyth,3106,0.2346112479,,1598,4615,1625,2706
37069,North Carolina,Franklin,3187,0.307160581,,,3725,,3126
37071,North Carolina,Gaston,3676,0.7451435919,,1928,4009,2796,3622
37073,North Carolina,Gates,3359,0.461215955,,,3494,,3475
37075,North Carolina,Graham,1216,-1.458206524,,,,,
37077,North Carolina,Granville,2746,-0.087830232,,,3345,,2494
37079,North Carolina,Greene,2520,-0.290251829,,,2076,,2518
37081,North Carolina,Guilford,2522,-0.288460487,,1748,3603,2653,2077
37083,North Carolina,Halifax,4201,1.2153707508,,,4674,,4022
37085,North Carolina,Harnett,4596,1.5691607085,,,4381,,4644
37087,North Carolina,Haywood,2247,-0.534769951,,,,,
37089,North Carolina,Henderson,1419,-1.276385356,,,2326,1199,1329
37091,North Carolina,Hertford,3689,0.756787312,,,4181,,2996
37093,North Carolina,Hoke,3523,0.6081059627,,,4190,1887,2994
37095,North Carolina,Hyde,2376,-0.419228421,,,,,
37097,North Carolina,Iredell,2753,-0.081560537,,,3788,2039,2662
37099,North Carolina,Jackson,1809,-0.927073752,1739,,,,1748
37101,North Carolina,Johnston,3459,0.5507830329,,,3987,1242,3469
37103,North Carolina,Jones,4218,1.2305971541,,,4861,,3842
37105,North Carolina,Lee,3778,0.8365020114,,,5227,1493,3546
37107,North Carolina,Lenoir,4006,1.040714949,,,4118,,3877
37109,North Carolina,Lincoln,3014,0.1522095363,,,4956,1925,2951
37111,North Carolina,McDowell,2107,-0.66016386,,,,,
37113,North Carolina,Macon,1656,-1.064111382,,,,,
37115,North Carolina,Madison,2074,-0.689720996,,,,,
37117,North Carolina,Martin,4138,1.1589434918,,,5403,,3612
37119,North Carolina,Mecklenburg,2589,-0.228450545,8901,1602,3904,2105,2120
37121,North Carolina,Mitchell,1647,-1.072172419,,,,,
37123,North Carolina,Montgomery,2962,0.1056346558,,,3007,,2900
37125,North Carolina,Moore,2615,-0.205163105,,,3801,,2474
37127,North Carolina,Nash,3596,0.6734899296,,6305,4308,3766,3176
37129,North Carolina,New Hanover,2413,-0.386088602,,1196,4393,1024,2112
37131,North Carolina,Northampton,4616,1.5870741241,,,5783,,3617
37133,North Carolina,Onslow,2671,-0.155005541,,716,2898,,2753
37135,North Carolina,Orange,1671,-1.05067632,,689,5099,1953,1399
37137,North Carolina,Pamlico,3112,0.2399852726,,,3526,,3150
37139,North Carolina,Pasquotank,3323,0.4289718069,,,5039,,2690
37141,North Carolina,Pender,1991,-0.764061671,,,2468,,1923
37143,North Carolina,Perquimans,2695,-0.133509442,,,4205,,2297
37145,North Carolina,Person,2782,-0.055586084,,,3567,,2608
37147,North Carolina,Pitt,4066,1.0944551957,,,5263,3816,3552
37149,North Carolina,Polk,2131,-0.638667762,,,3180,,2095
37151,North Carolina,Randolph,3463,0.554365716,,,2364,,3522
37153,North Carolina,Richmond,3835,0.8875552458,,,5542,,3476
37155,North Carolina,Robeson,5296,2.1961302538,6132,3437,5874,1248,4891
37157,North Carolina,Rockingham,3382,0.4818163829,,,3744,,3372
37159,North Carolina,Rowan,3065,0.197888746,,,3226,,2990
37161,North Carolina,Rutherford,2501,-0.307269573,,,2839,,2430
37163,North Carolina,Sampson,3885,0.9323387847,,,4914,1473,3673
37165,North Carolina,Scotland,5133,2.0501359168,634,,5706,,4954
37167,North Carolina,Stanly,4408,1.4007746021,,,4062,33159,4229
37169,North Carolina,Stokes,3638,0.7111081023,,,3264,,3628
37171,North Carolina,Surry,3736,0.7988838386,,,2455,,3744
37173,North Carolina,Swain,2875,0.027711298,4245,,,,2382
37175,North Carolina,Transylvania,1803,-0.932447777,,,,,
37177,North Carolina,Tyrrell,2713,-0.117387368,,,1205,,1172
37179,North Carolina,Union,3342,0.4459895517,,,4302,3965,3269
37181,North Carolina,Vance,3159,0.2820817992,,,4532,,2293
37183,North Carolina,Wake,2314,-0.474760009,,1065,3647,2555,2058
37185,North Carolina,Warren,2223,-0.55626605,,,3055,,1056
37187,North Carolina,Washington,2205,-0.572388124,,,2062,,2348
37189,North Carolina,Watauga,1822,-0.915430032,,,,,
37191,North Carolina,Wayne,3262,0.3743358894,,,4088,1097,3002
37193,North Carolina,Wilkes,2336,-0.455055252,,,1172,,2362
37195,North Carolina,Wilson,3863,0.9126340276,,,5747,,3121
37197,North Carolina,Yadkin,3407,0.5042081524,,,,,
37199,North Carolina,Yancey,2333,-0.457742264,,,,,
38000,North Dakota,,2945,,,,,,
38001,North Dakota,Adams,3433,0.5274955926,,,,,
38003,North Dakota,Barnes,2911,0.059955446,,,,,
38005,North Dakota,Benson,4404,1.397191919,9889,,,,2742
38007,North Dakota,Billings,,,,,,,
38009,North Dakota,Bottineau,1770,-0.962004913,,,,,
38011,North Dakota,Bowman,1791,-0.943195826,,,,,
38013,North Dakota,Burke,1721,-1.005892781,,,,,
38015,North Dakota,Burleigh,2908,0.0572684337,13586,,,,2791
38017,North Dakota,Cass,3126,0.2525246635,,,284,3773,3161
38019,North Dakota,Cavalier,1638,-1.080233456,,,,,
38021,North Dakota,Dickey,2873,0.0259199564,,,,,
38023,North Dakota,Divide,6237,3.0,,,,,
38025,North Dakota,Dunn,1224,-1.451041158,,,,,
38027,North Dakota,Eddy,3085,0.2158021616,,,,,
38029,North Dakota,Emmons,4568,1.5440819267,,,,,
38031,North Dakota,Foster,2865,0.0187545902,,,,,
38033,North Dakota,Golden Valley,3188,0.3080562518,,,,,
38035,North Dakota,Grand Forks,2806,-0.034089986,4485,,,,2805
38037,North Dakota,Grant,8082,3.0,,,,,
38039,North Dakota,Griggs,2748,-0.086038891,,,,,
38041,North Dakota,Hettinger,2848,0.003528187,,,,,
38043,North Dakota,Kidder,5884,2.7227846718,,,,,
38045,North Dakota,LaMoure,2074,-0.689720996,,,,,
38047,North Dakota,Logan,2936,0.0823472155,,,,,
38049,North Dakota,McHenry,3073,0.2050541122,,,,,
38051,North Dakota,McIntosh,4987,1.9193679831,,,,,
38053,North Dakota,McKenzie,489,-2.109359181,,,,,
38055,North Dakota,McLean,1261,-1.417901339,,,,,
38057,North Dakota,Mercer,2446,-0.356531466,,,,,
38059,North Dakota,Morton,3319,0.4253891238,18643,,,,3073
38061,North Dakota,Mountrail,2903,0.0527900798,6527,,,,1946
38063,North Dakota,Nelson,1885,-0.859002773,,,,,
38065,North Dakota,Oliver,3863,0.9126340276,,,,,
38067,North Dakota,Pembina,4320,1.3219555735,,,,,
38069,North Dakota,Pierce,6511,3.0,,,,,
38071,North Dakota,Ramsey,2715,-0.115596027,13668,,,,2282
38073,North Dakota,Ransom,3773,0.8320236575,,,,,
38075,North Dakota,Renville,589,-2.019792103,,,,,
38077,North Dakota,Richland,3166,0.2883514947,,,,,
38079,North Dakota,Rolette,5477,2.3582466648,6283,,,,3687
38081,North Dakota,Sargent,3334,0.4388241855,,,,,
38083,North Dakota,Sheridan,,0.0,,,,,
38085,North Dakota,Sioux,3717,0.7818660938,,,,,
38087,North Dakota,Slope,,,,,,,
38089,North Dakota,Stark,1783,-0.950361193,,,,,
38091,North Dakota,Steele,762,-1.864841058,,,,,
38093,North Dakota,Stutsman,1183,-1.48776366,,,,,
38095,North Dakota,Towner,4108,1.1320733684,,,,,
38097,North Dakota,Traill,1436,-1.261158953,,,,,
38099,North Dakota,Walsh,4358,1.3559910631,,,,,
38101,North Dakota,Ward,2948,0.0930952648,828,,3857,,2905
38103,North Dakota,Wells,2911,0.059955446,,,,,
38105,North Dakota,Williams,1580,-1.132182361,2602,,,,1506
39000,Ohio,,3111,,,,,,
39001,Ohio,Adams,3402,0.4997297985,,,,,
39003,Ohio,Allen,4217,1.2297014833,,8577,7445,4059,3962
39005,Ohio,Ashland,2915,0.0635381291,,,,,
39007,Ohio,Ashtabula,4335,1.3353906352,,,5080,3180,4338
39009,Ohio,Athens,2638,-0.184562677,,,,,
39011,Ohio,Auglaize,3411,0.5077908355,,,,,
39013,Ohio,Belmont,3573,0.6528895017,,,4089,,3543
39015,Ohio,Brown,4216,1.2288058125,,,4372,,4173
39017,Ohio,Butler,3475,0.5651137653,,,4903,,3446
39019,Ohio,Carroll,2855,0.0097978824,,,,,
39021,Ohio,Champaign,3232,0.3474657661,,,,,
39023,Ohio,Clark,3378,0.4782336998,,,4581,,3310
39025,Ohio,Clermont,3475,0.5651137653,,,1369,,3467
39027,Ohio,Clinton,2873,0.0259199564,,,,,
39029,Ohio,Columbiana,3299,0.4074757083,,,,,
39031,Ohio,Coshocton,3600,0.6770726127,,,8178,,3471
39033,Ohio,Crawford,2341,-0.450576898,,,,,
39035,Ohio,Cuyahoga,3796,0.8526240854,,2209,5984,4238,3239
39037,Ohio,Darke,2765,-0.070812488,,,,,
39039,Ohio,Defiance,3371,0.4719640043,,,,1962,3398
39041,Ohio,Delaware,1672,-1.049780649,,,1369,,1665
39043,Ohio,Erie,2880,0.0321896519,,,3025,,2844
39045,Ohio,Fairfield,2727,-0.104847977,,,1487,,2795
39047,Ohio,Fayette,2667,-0.158588224,,,,,
39049,Ohio,Franklin,2595,-0.22307652,,1268,4384,1553,2304
39051,Ohio,Fulton,1324,-1.36147408,,,4736,,1287
39053,Ohio,Gallia,3022,0.1593749025,,,8633,,2846
39055,Ohio,Geauga,2567,-0.248155302,,,,,
39057,Ohio,Greene,2429,-0.371757869,,,1153,,2470
39059,Ohio,Guernsey,3337,0.4415111979,,,,,
39061,Ohio,Hamilton,3113,0.2408809434,,1931,4429,2457,2853
39063,Ohio,Hancock,2418,-0.381610248,,,,3271,2369
39065,Ohio,Hardin,2502,-0.306373903,,,,,
39067,Ohio,Harrison,4164,1.182230932,,,,,
39069,Ohio,Henry,2784,-0.053794743,,,,,
39071,Ohio,Highland,2515,-0.294730182,,,,,
39073,Ohio,Hocking,2025,-0.733608864,,,,,
39075,Ohio,Holmes,859,-1.777960992,,,,,
39077,Ohio,Huron,3300,0.408371379,,,,9719,3231
39079,Ohio,Jackson,2303,-0.484612388,,,,,
39081,Ohio,Jefferson,3534,0.6179583413,,,3996,,3509
39083,Ohio,Knox,3109,0.2372982603,,,,,
39085,Ohio,Lake,3202,0.3205956427,,,7734,,3133
39087,Ohio,Lawrence,4447,1.4357057625,,,3370,,4427
39089,Ohio,Licking,3072,0.2041584414,,,7238,3789,2993
39091,Ohio,Logan,2470,-0.335035367,,,,,
39093,Ohio,Lorain,3703,0.7693267029,,1910,4734,4687,3644
39095,Ohio,Lucas,3683,0.7514132874,,514,6124,3281,3352
39097,Ohio,Madison,2620,-0.200684751,,,,,
39099,Ohio,Mahoning,3531,0.615271329,,,6358,3739,3238
39101,Ohio,Marion,4247,1.2565716067,,,7480,,4224
39103,Ohio,Medina,2616,-0.204267434,,,4817,,2607
39105,Ohio,Meigs,2620,-0.200684751,,,,,
39107,Ohio,Mercer,3955,0.9950357392,,,,,
39109,Ohio,Miami,3215,0.3322393628,,,2365,,3219
39111,Ohio,Monroe,3355,0.4576332719,,,,,
39113,Ohio,Montgomery,3145,0.2695424083,,825,4368,1875,2963
39115,Ohio,Morgan,2193,-0.583136173,,,7156,,2061
39117,Ohio,Morrow,3032,0.1683316103,,,,,
39119,Ohio,Muskingum,3282,0.392249305,,,5205,,3226
39121,Ohio,Noble,3161,0.2838731408,,,,,
39123,Ohio,Ottawa,2498,-0.309956586,,,,8502,2470
39125,Ohio,Paulding,3767,0.8266496328,,,,,
39127,Ohio,Perry,3740,0.8024665218,,,,,
39129,Ohio,Pickaway,2969,0.1119043512,,,,,
39131,Ohio,Pike,1266,-1.413422985,,,,,
39133,Ohio,Portage,2606,-0.213224142,,,1573,,2639
39135,Ohio,Preble,2976,0.1181740467,,,,,
39137,Ohio,Putnam,3275,0.3859796096,,,,4294,3259
39139,Ohio,Richland,3031,0.1674359395,,,6032,,2869
39141,Ohio,Ross,946,-1.700037635,,,,,
39143,Ohio,Sandusky,2600,-0.218598166,,,780,,2671
39145,Ohio,Scioto,3732,0.7953011555,,,2197,,3731
39147,Ohio,Seneca,3087,0.2175935031,,,5646,,3071
39149,Ohio,Shelby,3013,0.1513138655,,,,,
39151,Ohio,Stark,2499,-0.309060915,,,3724,,2438
39153,Ohio,Summit,3031,0.1674359395,,1325,5448,,2791
39155,Ohio,Trumbull,3502,0.5892968764,,,6416,,3360
39157,Ohio,Tuscarawas,2521,-0.289356158,,,7951,,2498
39159,Ohio,Union,2445,-0.357427137,,,,,
39161,Ohio,Van Wert,1827,-0.910951678,,,,,
39163,Ohio,Vinton,1178,-1.492242014,,,,,
39165,Ohio,Warren,3144,0.2686467375,,2052,2563,2351,3110
39167,Ohio,Washington,3055,0.1889320382,,,3327,,3044
39169,Ohio,Wayne,2515,-0.294730182,,,1319,,2455
39171,Ohio,Williams,1871,-0.871542164,,,,,
39173,Ohio,Wood,2948,0.0930952648,,,,,
39175,Ohio,Wyandot,2592,-0.225763532,,,,,
40000,Oklahoma,,3069,,,,,,
40001,Oklahoma,Adair,5556,2.4290046563,6194,,,4829,5056
40003,Oklahoma,Alfalfa,1895,-0.850046065,,,,,
40005,Oklahoma,Atoka,6904,3.0,8677,,,,6760
40007,Oklahoma,Beaver,5142,2.0581969538,,,,,
40009,Oklahoma,Beckham,2387,-0.409376042,,,,,
40011,Oklahoma,Blaine,2161,-0.611797638,,,,,
40013,Oklahoma,Bryan,7102,3.8137116805,7747,,16211,1894,7045
40015,Oklahoma,Caddo,3659,0.7299171887,5045,,,,3415
40017,Oklahoma,Canadian,2233,-0.547309342,1646,,,1917,2238
40019,Oklahoma,Carter,2945,0.0904082525,2703,,4212,,2941
40021,Oklahoma,Cherokee,3642,0.7146907854,4452,,14304,,3193
40023,Oklahoma,Choctaw,6400,3.0,2651,,10460,,6666
40025,Oklahoma,Cimarron,4255,1.2637369729,,,,,
40027,Oklahoma,Cleveland,1883,-0.860794115,3805,,372,1759,1818
40029,Oklahoma,Coal,9353,3.0,6348,,,,9714
40031,Oklahoma,Comanche,4350,1.3488256969,5335,1032,6414,3685,4078
40033,Oklahoma,Cotton,4244,1.2538845943,15774,,,,3233
40035,Oklahoma,Craig,3060,0.1934103921,3288,,,,2969
40037,Oklahoma,Creek,3432,0.5265999218,5033,,3321,9541,3251
40039,Oklahoma,Custer,3287,0.3967276589,8873,,5725,,2944
40041,Oklahoma,Delaware,2631,-0.190832372,2956,,,,2587
40043,Oklahoma,Dewey,2985,0.1262350837,,,,,
40045,Oklahoma,Ellis,2159,-0.61358898,,,,,
40047,Oklahoma,Garfield,2851,0.0062151993,1664,,3632,1234,2814
40049,Oklahoma,Garvin,2525,-0.285773475,2415,,,,2584
40051,Oklahoma,Grady,2303,-0.484612388,3637,,,,2200
40053,Oklahoma,Grant,2582,-0.23472024,,,,,
40055,Oklahoma,Greer,4595,1.5682650377,,,21429,,4605
40057,Oklahoma,Harmon,5768,2.6188868614,,,,9942,4850
40059,Oklahoma,Harper,3271,0.3823969264,,,,,
40061,Oklahoma,Haskell,4459,1.4464538118,5375,,,27273,4202
40063,Oklahoma,Hughes,2723,-0.10843066,3891,,,,2444
40065,Oklahoma,Jackson,2989,0.1298177668,,,2222,3355,2869
40067,Oklahoma,Jefferson,3560,0.6412457816,,,,,
40069,Oklahoma,Johnston,4452,1.4401841164,4343,,,,4437
40071,Oklahoma,Kay,2750,-0.084247549,4742,,3338,,2574
40073,Oklahoma,Kingfisher,2808,-0.032298644,4771,,,,2525
40075,Oklahoma,Kiowa,3751,0.8123189003,,,,,
40077,Oklahoma,Latimer,1628,-1.089190163,2830,,,,1220
40079,Oklahoma,Le Flore,4244,1.2538845943,3612,,5341,6883,4184
40081,Oklahoma,Lincoln,2284,-0.501630132,3198,,,,2190
40083,Oklahoma,Logan,2347,-0.445202873,,,1361,,2312
40085,Oklahoma,Love,3177,0.2982038732,,,,,
40087,Oklahoma,McClain,2397,-0.400419334,5045,,,,2239
40089,Oklahoma,McCurtain,4632,1.6014048566,4938,,8102,,4268
40091,Oklahoma,McIntosh,3430,0.5248085803,2376,,4049,,3519
40093,Oklahoma,Major,1924,-0.824071613,,,,,
40095,Oklahoma,Marshall,5009,1.9390727402,4532,,,,5180
40097,Oklahoma,Mayes,3062,0.1952017336,4931,,,,2672
40099,Oklahoma,Murray,5632,2.4970756355,5420,,,,5597
40101,Oklahoma,Muskogee,3460,0.5516787037,5050,,3230,5204,3222
40103,Oklahoma,Noble,3381,0.4809207121,,,,,
40105,Oklahoma,Nowata,2359,-0.434454824,,,,,
40107,Oklahoma,Okfuskee,2823,-0.018863583,5915,,,,2454
40109,Oklahoma,Oklahoma,2633,-0.189041031,2993,1672,4307,2650,2377
40111,Oklahoma,Okmulgee,2819,-0.022446266,3039,,1473,,2847
40113,Oklahoma,Osage,2635,-0.187249689,2642,,,,2533
40115,Oklahoma,Ottawa,2677,-0.149631516,3219,,,,2557
40117,Oklahoma,Pawnee,2488,-0.318913293,5348,,,,2172
40119,Oklahoma,Payne,2585,-0.232033228,2933,,4020,,2521
40121,Oklahoma,Pittsburg,2704,-0.125448405,4071,,2770,,2504
40123,Oklahoma,Pontotoc,3530,0.6143756582,6637,,3275,,3110
40125,Oklahoma,Pottawatomie,1751,-0.979022658,2281,,738,1159,1641
40127,Oklahoma,Pushmataha,6814,3.0,6052,,,,6856
40129,Oklahoma,Roger Mills,4530,1.5100464371,,,,,
40131,Oklahoma,Rogers,3403,0.5006254693,5393,,,,3189
40133,Oklahoma,Seminole,3379,0.4791293706,5968,,,,2969
40135,Oklahoma,Sequoyah,3726,0.7899271309,4198,,7065,,3546
40137,Oklahoma,Stephens,3550,0.6322890738,2825,,9940,2893,3380
40139,Oklahoma,Texas,1721,-1.005892781,,,,583,1515
40141,Oklahoma,Tillman,3898,0.9439825048,18246,,,,4049
40143,Oklahoma,Tulsa,2900,0.0501030675,4159,1601,5695,3252,2643
40145,Oklahoma,Wagoner,4489,1.4733239352,5812,,4141,,4242
40147,Oklahoma,Washington,1940,-0.80974088,2589,,7427,,1795
40149,Oklahoma,Washita,3098,0.2274458817,,,,,
40151,Oklahoma,Woods,2039,-0.721069473,,,,,
40153,Oklahoma,Woodward,2379,-0.416541408,,,,,
41000,Oregon,,1796,,,,,,
41001,Oregon,Baker,476,-2.121002901,,,,,
41003,Oregon,Benton,1649,-1.070381077,,,,,
41005,Oregon,Clackamas,1772,-0.960213571,,1216,5357,2559,1731
41007,Oregon,Clatsop,2019,-0.738982889,,,,,
41009,Oregon,Columbia,3167,0.2892471654,,33333,,,3097
41011,Oregon,Coos,2681,-0.146048833,3251,4398,,4746,2627
41013,Oregon,Crook,1513,-1.192192303,,,,,
41015,Oregon,Curry,1388,-1.30415115,,,,,
41017,Oregon,Deschutes,1250,-1.427753718,861,,,1678,1213
41019,Oregon,Douglas,1314,-1.370430788,,1962,,932,1293
41021,Oregon,Gilliam,1758,-0.972752962,,,,,
41023,Oregon,Grant,183,-2.383434439,,,,,
41025,Oregon,Harney,1140,-1.526277503,,,,,
41027,Oregon,Hood River,1427,-1.26921999,,,,,
41029,Oregon,Jackson,1623,-1.093668517,,,,1946,1607
41031,Oregon,Jefferson,1612,-1.103520896,2246,,,,1459
41033,Oregon,Josephine,1536,-1.171591875,,,,,
41035,Oregon,Klamath,1902,-0.84377637,1553,,,1632,1886
41037,Oregon,Lake,2292,-0.494464766,,,,,
41039,Oregon,Lane,1882,-0.861689785,1472,953,1386,2163,1888
41041,Oregon,Lincoln,1893,-0.851837407,4664,,,,1819
41043,Oregon,Linn,1742,-0.987083695,1104,2444,,1611,1698
41045,Oregon,Malheur,1332,-1.354308714,,,,,
41047,Oregon,Marion,2146,-0.6252327,,595,815,2416,2133
41049,Oregon,Morrow,1933,-0.816010576,,,,,
41051,Oregon,Multnomah,2093,-0.672703251,2565,1582,4882,2303,1932
41053,Oregon,Polk,1476,-1.225332122,,,,1896,1440
41055,Oregon,Sherman,606,-2.004565699,,,,,
41057,Oregon,Tillamook,1655,-1.065007052,,,,,
41059,Oregon,Umatilla,1909,-0.837506674,1922,,,1936,1920
41061,Oregon,Union,1782,-0.951256863,,,,,
41063,Oregon,Wallowa,1658,-1.06232004,,,,,
41065,Oregon,Wasco,1337,-1.34983036,,,,,
41067,Oregon,Washington,1930,-0.818697588,,1173,1455,1572,1978
41069,Oregon,Wheeler,,0.0,,,,,
41071,Oregon,Yamhill,2139,-0.631502395,,,,2824,2092
42000,Pennsylvania,,3014,,,,,,
42001,Pennsylvania,Adams,2541,-0.271442742,,,3733,3733,2495
42003,Pennsylvania,Allegheny,3140,0.2650640544,,2110,5027,1464,2872
42005,Pennsylvania,Armstrong,2839,-0.00453285,,,,,
42007,Pennsylvania,Beaver,2920,0.068016483,,,5364,,2767
42009,Pennsylvania,Bedford,2908,0.0572684337,,,,,
42011,Pennsylvania,Berks,3678,0.7469349335,,2923,5794,5751,3517
42013,Pennsylvania,Blair,3452,0.5445133374,,,1502,,3442
42015,Pennsylvania,Bradford,2715,-0.115596027,,,,,
42017,Pennsylvania,Bucks,2956,0.1002606311,,1763,4926,2851,2917
42019,Pennsylvania,Butler,2318,-0.471177326,,,,,
42021,Pennsylvania,Cambria,3429,0.5239129095,,,9936,,3328
42023,Pennsylvania,Cameron,3580,0.6591591971,,,,,
42025,Pennsylvania,Carbon,3508,0.594670901,,,,6090,3475
42027,Pennsylvania,Centre,2402,-0.39594098,,,2942,,2380
42029,Pennsylvania,Chester,2655,-0.169336273,,1427,3724,3595,2549
42031,Pennsylvania,Clarion,2595,-0.22307652,,,,,
42033,Pennsylvania,Clearfield,3099,0.2283415525,,,,,
42035,Pennsylvania,Clinton,2705,-0.124552734,,,,,
42037,Pennsylvania,Columbia,2488,-0.318913293,,,,2706,2477
42039,Pennsylvania,Crawford,2695,-0.133509442,,,,,
42041,Pennsylvania,Cumberland,2356,-0.437141836,,2246,2319,,2365
42043,Pennsylvania,Dauphin,2904,0.0536857506,,1406,5454,4022,2538
42045,Pennsylvania,Delaware,2787,-0.051107731,,2290,4104,4657,2598
42047,Pennsylvania,Elk,2361,-0.432663482,,,,,
42049,Pennsylvania,Erie,3055,0.1889320382,,1739,6502,7201,2913
42051,Pennsylvania,Fayette,3299,0.4074757083,,,3599,,3263
42053,Pennsylvania,Forest,3119,0.246254968,,,,,
42055,Pennsylvania,Franklin,2394,-0.403106347,,,2621,1854,2371
42057,Pennsylvania,Fulton,2306,-0.481925375,,,,,
42059,Pennsylvania,Greene,4229,1.2404495327,,,,,
42061,Pennsylvania,Huntingdon,2714,-0.116491697,,,,,
