FIPS,State,County,Income Inequality 80th Percentile Income,Income Inequality 20th Percentile Income,Income Inequality Income Ratio,Income Inequality National Z-Score
18011,Indiana,Boone,202573,45290,4.472797527,-0.104806311
18013,Indiana,Brown,131808,32055,4.1119326158,-0.560221142
18015,Indiana,Carroll,117295,31832,3.6848140236,-1.099248726
18017,Indiana,Cass,104856,25362,4.1343742607,-0.53189958
18019,Indiana,Clark,124171,33168,3.7436987458,-1.024935666
18021,Indiana,Clay,118172,30380,3.8897959184,-0.840559693
18023,Indiana,Clinton,104758,30404,3.4455334824,-1.401222965
18025,Indiana,Crawford,93254,19412,4.8039357099,0.3130931147
18027,Indiana,Daviess,123732,27641,4.4763937629,-0.100267829
18029,Indiana,Dearborn,134228,33399,4.0189227222,-0.677600481
18031,Indiana,Decatur,126051,33021,3.817298083,-0.932052627
18033,Indiana,DeKalb,118561,32513,3.6465721404,-1.147510333
18035,Indiana,Delaware,101703,22064,4.6094543147,0.0676558089
18037,Indiana,Dubois,124759,32302,3.8622685902,-0.875299434
18039,Indiana,Elkhart,120577,28916,4.1699059344,-0.487058282
18041,Indiana,Fayette,101630,22701,4.476895291,-0.099634896
18043,Indiana,Floyd,141780,34421,4.1189971238,-0.551305668
18045,Indiana,Fountain,101329,24765,4.0916212397,-0.585854285
18047,Indiana,Franklin,128635,32764,3.9261079233,-0.794733609
18049,Indiana,Fulton,122110,28689,4.2563351807,-0.377983779
18051,Indiana,Gibson,117318,31570,3.7161229015,-1.059736634
18053,Indiana,Grant,103616,24497,4.2297424174,-0.411544091
18055,Indiana,Greene,103956,25198,4.1255655211,-0.54301629
18057,Indiana,Hamilton,212639,55033,3.8638453292,-0.873309575
18059,Indiana,Hancock,151396,42711,3.5446606261,-1.2761236
18061,Indiana,Harrison,124446,34045,3.6553385225,-1.136447079
18063,Indiana,Hendricks,161418,49788,3.2421065317,-1.657949644
18065,Indiana,Henry,105417,26675,3.9519025305,-0.762180578
18067,Indiana,Howard,115087,28779,3.9989923208,-0.702752831
18069,Indiana,Huntington,110415,30258,3.6491175887,-1.144297954
