FIPS,State,County,Premature Death Unreliable,Premature Death Deaths,Premature Death Years of Potential Life Lost Rate,Premature Death 95% CI - Low,Premature Death 95% CI - High,Premature Death National Z-Score,Premature Death YPLL Rate (Hispanic (all races)),Premature Death YPLL Rate (Hispanic (all races)) 95% CI - Low,Premature Death YPLL Rate (Hispanic (all races)) 95% CI - High,Premature Death YPLL Rate (Hispanic (all races)) Unreliable,Premature Death YPLL Rate (Non-Hispanic AIAN),Premature Death YPLL Rate (Non-Hispanic AIAN) 95% CI - Low,Premature Death YPLL Rate (Non-Hispanic AIAN) 95% CI - High,Premature Death YPLL Rate (Non-Hispanic AIAN) Unreliable,Premature Death YPLL Rate (Non-Hispanic Asian),Premature Death YPLL Rate (Non-Hispanic Asian) 95% CI - Low,Premature Death YPLL Rate (Non-Hispanic Asian) 95% CI - High,Premature Death YPLL Rate (Non-Hispanic Asian) Unreliable,Premature Death YPLL Rate (Non-Hispanic Black),Premature Death YPLL Rate (Non-Hispanic Black) 95% CI - Low,Premature Death YPLL Rate (Non-Hispanic Black) 95% CI - High,Premature Death YPLL Rate (Non-Hispanic Black) Unreliable,Premature Death YPLL Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Premature Death YPLL Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Premature Death YPLL Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Premature Death YPLL Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) Unreliable,Premature Death YPLL Rate (Non-Hispanic 2+ races),Premature Death YPLL Rate (Non-Hispanic 2+ races) 95% CI - Low,Premature Death YPLL Rate (Non-Hispanic 2+ races) 95% CI - High,Premature Death YPLL Rate (Non-Hispanic 2+ races) Unreliable,Premature Death YPLL Rate (Non-Hispanic White),Premature Death YPLL Rate (Non-Hispanic White) 95% CI - Low,Premature Death YPLL Rate (Non-Hispanic White) 95% CI - High,Premature Death YPLL Rate (Non-Hispanic White) Unreliable
1049,Alabama,DeKalb,,1551,11920,11018,12822,0.5695090627,6094,4565,7971,,,,,,,,,,,,,,,,,,,,,,13320,12215,14425,
1051,Alabama,Elmore,,1491,9600,8844,10357,-0.102873163,,,,,,,,,,,,,12300,10481,14119,,,,,,,,,,9236,8358,10114,
1053,Alabama,Escambia,,922,14205,12811,15599,1.2318775721,,,,,,,,,,,,,16961,14315,19607,,,,,,,,,,13030,11288,14772,
1055,Alabama,Etowah,,2607,13500,12693,14308,1.0275803436,,,,,,,,,,,,,18030,15720,20340,,,,,,,,,,13161,12241,14082,
1057,Alabama,Fayette,,416,14500,12291,16709,1.3174277665,,,,,,,,,,,,,20447,13232,30184,,,,,,,,,,14325,11931,16718,
1059,Alabama,Franklin,,689,12137,10802,13472,0.6324396957,6177,4137,8871,,,,,,,,,,,,,,,,,,,,,,13138,11483,14793,
1061,Alabama,Geneva,,686,14208,12509,15906,1.2326117984,,,,,,,,,,,,,23936,17177,32471,,,,,,,,,,14014,12159,15868,
1063,Alabama,Greene,,220,15895,12457,19334,1.7217591328,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,Alabama,Hale,,395,15800,13401,18199,1.6941547626,,,,,,,,,,,,,19513,15961,23064,,,,,,,,,,10766,7869,13662,
1067,Alabama,Henry,,377,11183,9260,13106,0.3559532622,,,,,,,,,,,,,16205,11390,21020,,,,,,,,,,9635,7597,11674,
1069,Alabama,Houston,,2079,10816,10110,11522,0.2495771009,,,,,,,,,,,,,15582,14005,17159,,,,,,,,,,9049,8261,9836,
1071,Alabama,Jackson,,1411,13259,12142,14377,0.9577766644,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,Alabama,Jefferson,,13080,12626,12310,12941,0.7740720024,8739,7456,10022,,,,,,3179,2188,4464,,16302,15753,16851,,,,,,,,,,10017,9621,10413,
1075,Alabama,Lamar,,340,11620,9543,13697,0.4824946812,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,Alabama,Lauderdale,,1720,9456,8743,10169,-0.144723617,,,,,,,,,,,,,14549,11771,17327,,,,,,,,,,9074,8314,9834,
1079,Alabama,Lawrence,,843,13336,11924,14748,0.9799930994,,,,,,,,,,,,,22726,16426,29026,,,,,,,,,,13695,12075,15315,
1081,Alabama,Lee,,2123,7740,7265,8216,-0.641968133,,,,,,,,,,,,,11963,10693,13233,,,,,,,,,,6822,6291,7352,
1083,Alabama,Limestone,,1592,8329,7708,8949,-0.471440705,5690,3839,8123,,,,,,,,,,7997,6233,9761,,,,,,,,,,8888,8137,9639,
1085,Alabama,Lowndes,,302,19377,15991,22763,2.7309506819,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,Alabama,Macon,,460,13986,11886,16086,1.1683447586,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,Alabama,Madison,,5542,8957,8609,9306,-0.289215967,5359,4222,6496,,,,,,,,,,11671,10879,12463,,,,,,,,,,8648,8217,9079,
1091,Alabama,Marengo,,479,14937,12826,17048,1.4440048156,,,,,,,,,,,,,17826,14693,20958,,,,,,,,,,11058,8215,13901,
1093,Alabama,Marion,,737,12317,10892,13741,0.6845012055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,Alabama,Marshall,,2052,12206,11425,12986,0.6522939793,8810,7119,10781,,,,,,,,,,14488,9844,20564,,,,,,,,,,12679,11775,13583,
1097,Alabama,Mobile,,8586,12207,11822,12592,0.6527481153,5717,4307,7441,,11425,7763,16218,,5904,4290,7926,,15265,14554,15976,,,,,,,,,,10838,10355,11321,
1099,Alabama,Monroe,,504,15284,13196,17371,1.5445077418,,,,,,,,,,,,,20741,16976,24507,,,,,,,,,,11291,8936,13646,
1101,Alabama,Montgomery,,4157,11999,11480,12518,0.5923117102,8575,6344,11336,,,,,,,,,,14252,13537,14967,,,,,,,,,,8499,7739,9258,
1103,Alabama,Morgan,,2497,11905,11186,12623,0.5650594627,8583,6727,10791,,,,,,,,,,17885,15438,20331,,,,,,,,,,11446,10622,12269,
1105,Alabama,Perry,,253,17843,14458,21229,2.2864601637,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,Alabama,Pickens,,486,11735,9968,13503,0.5159858126,,,,,,,,,,,,,15136,12177,18095,,,,,,,,,,10134,7671,12597,
1109,Alabama,Pike,,673,13154,11691,14616,0.9271120413,,,,,,,,,,,,,17072,14347,19797,,,,,,,,,,11166,9413,12918,
1111,Alabama,Randolph,,523,12461,10685,14236,0.7262729749,,,,,,,,,,,,,15437,11368,19507,,,,,,,,,,12185,10082,14288,
1113,Alabama,Russell,,1297,13437,12371,14503,1.0092432399,,,,,,,,,,,,,12766,11200,14333,,,,,,,,,,15577,13828,17327,
1115,Alabama,St. Clair,,1871,10871,10115,11626,0.2654053747,,,,,,,,,,,,,12005,9298,14713,,,,,,,,,,11021,10201,11840,
1117,Alabama,Shelby,,2621,6593,6201,6984,-0.974604378,4258,3117,5680,,,,,,,,,,8539,7298,9780,,,,,,,,,,6619,6167,7070,
1119,Alabama,Sumter,,304,16260,13392,19129,1.8275831142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,Alabama,Talladega,,2058,14552,13570,15533,1.3323766235,,,,,,,,,,,,,16460,14665,18255,,,,,,,,,,14226,12986,15465,
1123,Alabama,Tallapoosa,,981,12140,10841,13438,0.6331725646,,,,,,,,,,,,,13762,11346,16179,,,,,,,,,,12026,10380,13671,
1125,Alabama,Tuscaloosa,,3402,10111,9619,10603,0.0451748978,9384,7161,12079,,,,,,,,,,13219,12262,14175,,,,,,,,,,8528,7942,9113,
1127,Alabama,Walker,,2008,17481,16304,18658,2.1814985995,,,,,,,,,,,,,19927,15200,24654,,,,,,,,,,17785,16514,19056,
1129,Alabama,Washington,,330,11207,9233,13181,0.3627782953,,,,,,,,,,,,,11273,7550,16190,,,,,,,,,,10012,7806,12218,
1131,Alabama,Wilcox,,286,19390,16140,22640,2.7346916351,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,Alabama,Winston,,545,11957,10238,13675,0.5801512665,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Alaska,,,9838,9415,9158,9671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Alaska,Aleutians East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Alaska,Aleutians West,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Alaska,Anchorage,,3864,9238,8846,9631,-0.207731023,5732,4710,6754,,27116,24807,29424,,4782,3870,5694,,9763,8060,11465,,22292,18915,25669,,,,,,6855,6396,7314,
2050,Alaska,Bethel,,291,17063,14781,19345,2.0602424852,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060,Alaska,Bristol Bay,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2063,Alaska,Chugach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2066,Alaska,Copper River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2068,Alaska,Denali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2070,Alaska,Dillingham,,105,19921,15151,24692,2.8887475022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2090,Alaska,Fairbanks North Star,,1106,7962,7334,8591,-0.577585162,,,,,23149,19285,27014,,,,,,5742,3716,8476,,,,,,,,,,7028,6305,7751,
2100,Alaska,Haines,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2105,Alaska,Hoonah-Angoon,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2110,Alaska,Juneau,,356,7141,6060,8222,-0.815559499,,,,,14628,10497,19844,,,,,,,,,,,,,,,,,,5815,4459,7171,
2122,Alaska,Kenai Peninsula,,858,8332,7449,9215,-0.470506722,,,,,12572,9061,16994,,,,,,,,,,,,,,,,,,7906,6920,8892,
2130,Alaska,Ketchikan Gateway,,189,7817,5976,9658,-0.619673043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2150,Alaska,Kodiak Island,,143,7250,5604,8897,-0.783932806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2158,Alaska,Kusilvak,,158,24287,20027,28548,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2164,Alaska,Lake and Peninsula,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2170,Alaska,Matanuska-Susitna,,1425,8368,7757,8978,-0.460111341,,,,,17668,14107,21229,,,,,,,,,,,,,,,,,,7728,7068,8387,
2180,Alaska,Nome,,196,18441,15298,21583,2.4595417565,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2185,Alaska,North Slope,,111,9270,6999,11542,-0.198446566,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2188,Alaska,Northwest Arctic,,120,15896,12513,19280,1.7220299405,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2195,Alaska,Petersburg,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2198,Alaska,Prince of Wales-Hyder,,140,14941,10926,18957,1.4452415014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2201,Alaska,Prince of Wales-Outer Ketchikan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2220,Alaska,Sitka,,98,7358,5425,9756,-0.752763546,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2230,Alaska,Skagway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2232,Alaska,Skagway-Hoonah-Angoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2240,Alaska,Southeast Fairbanks,,113,9876,7151,12600,-0.022996579,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2261,Alaska,Valdez-Cordova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2270,Alaska,Wade Hampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2275,Alaska,Wrangell,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2280,Alaska,Wrangell-Petersburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2282,Alaska,Yakutat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2290,Alaska,Yukon-Koyukuk,,123,18062,13693,22431,2.3498939679,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,Arizona,,,104430,8865,8786,8945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4001,Arizona,Apache,,2007,23968,22584,25352,4.0615717332,10159,6993,14268,,27411,25704,29117,,,,,,,,,,,,,,,,,,13627,11054,16201,
4003,Arizona,Cochise,,2254,8990,8367,9613,-0.279805781,8308,7323,9293,,,,,,,,,,9372,6323,13379,,,,,,,,,,9221,8356,10086,
4005,Arizona,Coconino,,1911,10457,9825,11089,0.1454088248,7347,5909,8786,,21997,20271,23724,,,,,,,,,,,,,,,,,,5599,4967,6232,
4007,Arizona,Gila,,1453,17835,16303,19367,2.2840995361,9928,7708,12148,,41030,36173,45886,,,,,,,,,,,,,,,,,,14029,12001,16057,
4009,Arizona,Graham,,598,9981,8896,11065,0.0074368856,10445,8455,12436,,20075,15522,24629,,,,,,,,,,,,,,,,,,7732,6431,9032,
4011,Arizona,Greenlee,,122,8066,6140,9992,-0.547471715,6455,4323,9271,,,,,,,,,,,,,,,,,,,,,,9244,6237,13196,
4012,Arizona,La Paz,,589,19075,16418,21731,2.6434165402,9819,6949,13478,,30992,23282,40438,,,,,,,,,,,,,,,,,,24163,18878,29448,
4013,Arizona,Maricopa,,56102,8012,7917,8107,-0.563159979,8178,8015,8341,,16939,15937,17941,,3363,3080,3647,,13044,12547,13541,,16110,13286,18934,,,,,,7118,6992,7245,
4015,Arizona,Mohave,,5776,12223,11622,12824,0.6574037474,9190,8059,10320,,21996,16995,26997,,,,,,,,,,,,,,,,,,12481,11748,13214,
4017,Arizona,Navajo,,2794,19463,18447,20479,2.7559873199,11238,9118,13358,,28822,26996,30647,,,,,,,,,,,,,,,,,,10788,9603,11974,
4019,Arizona,Pima,,16046,9303,9083,9522,-0.189097951,8785,8460,9110,,22999,20901,25097,,3393,2658,4129,,12949,11607,14291,,,,,,,,,,8834,8511,9157,
4021,Arizona,Pinal,,6688,8591,8272,8909,-0.395505894,7660,7152,8167,,21067,18887,23247,,,,,,10959,9223,12695,,,,,,,,,,7735,7303,8167,
4023,Arizona,Santa Cruz,,562,7080,6170,7990,-0.833353074,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4025,Arizona,Yavapai,,4450,9712,9154,10270,-0.070486109,7191,6143,8239,,24803,18528,31079,,,,,,,,,,,,,,,,,,10103,9419,10786,
4027,Arizona,Yuma,,3078,9428,8956,9901,-0.152687799,8598,8065,9132,,26422,19199,35471,,,,,,13602,8885,19929,,,,,,,,,,10831,9738,11924,
5000,Arkansas,,,56311,10823,10689,10957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001,Arkansas,Arkansas,,473,15107,12905,17310,1.4934266928,,,,,,,,,,,,,21751,16485,27017,,,,,,,,,,12356,10091,14620,
5003,Arkansas,Ashley,,458,14047,12005,16089,1.1860658332,,,,,,,,,,,,,20914,15769,26059,,,,,,,,,,12704,10335,15073,
5005,Arkansas,Baxter,,975,11053,9788,12318,0.3182503786,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5007,Arkansas,Benton,,3205,6733,6402,7065,-0.93384405,4045,3437,4653,,,,,,,,,,7862,5181,11439,,29666,21639,39696,,,,,,7534,7105,7964,
5009,Arkansas,Boone,,734,10229,9039,11419,0.0794339688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5011,Arkansas,Bradley,,231,14956,12154,17759,1.4496451985,,,,,,,,,,,,,16540,11584,22898,,,,,,,,,,13486,9945,17026,
5013,Arkansas,Calhoun,,147,15127,11162,19092,1.4990277232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5015,Arkansas,Carroll,,579,10071,8644,11497,0.0335557726,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5017,Arkansas,Chicot,,258,15425,12452,18398,1.5854655448,,,,,,,,,,,,,18847,14438,23256,,,,,,,,,,12544,7815,17274,
5019,Arkansas,Clark,,401,9930,8432,11427,-0.007413459,,,,,,,,,,,,,11977,8569,15384,,,,,,,,,,9587,7805,11369,
5021,Arkansas,Clay,,346,11699,9638,13760,0.5054961917,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5023,Arkansas,Cleburne,,529,10707,9069,12345,0.2178399898,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5025,Arkansas,Cleveland,,187,10925,8213,13636,0.2810385774,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5027,Arkansas,Columbia,,466,13215,11411,15020,0.9449428466,,,,,,,,,,,,,20231,16593,23868,,,,,,,,,,9826,7783,11869,
5029,Arkansas,Conway,,412,11428,9653,13203,0.4269073342,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5031,Arkansas,Craighead,,1688,9884,9231,10538,-0.020492552,,,,,,,,,,,,,15253,13234,17271,,,,,,,,,,9296,8565,10026,
5033,Arkansas,Crawford,,1206,10236,9328,11144,0.0813960562,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5035,Arkansas,Crittenden,,1106,15289,14017,16560,1.5459621526,,,,,,,,,,,,,17774,15965,19583,,,,,,,,,,12698,10841,14556,
5037,Arkansas,Cross,,392,12814,10825,14803,0.8287687075,,,,,,,,,,,,,13383,9268,18701,,,,,,,,,,13245,10889,15602,
5039,Arkansas,Dallas,,176,15938,12013,19863,1.734180484,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5041,Arkansas,Desha,,279,14146,11565,16727,1.2147834724,,,,,,,,,,,,,13762,10228,17295,,,,,,,,,,16136,11586,20687,
5043,Arkansas,Drew,,357,12083,10177,13988,0.6166544194,,,,,,,,,,,,,16168,11936,20399,,,,,,,,,,11182,8867,13498,
5045,Arkansas,Faulkner,,1754,8956,8362,9550,-0.28955096,6466,4261,9408,,,,,,,,,,12527,10613,14442,,,,,,,,,,8638,7981,9295,
5047,Arkansas,Franklin,,374,12586,10569,14603,0.7625613082,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5049,Arkansas,Fulton,,322,12838,10402,15274,0.8356411598,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5051,Arkansas,Garland,,2322,13218,12339,14096,0.9456221043,8834,6367,11941,,,,,,,,,,19887,16499,23275,,,,,,,,,,12787,11806,13768,
5053,Arkansas,Grant,,371,10436,8731,12141,0.1393965089,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5055,Arkansas,Greene,,864,10098,9097,11099,0.0414038098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5057,Arkansas,Hempstead,,397,10925,9281,12568,0.281053212,,,,,,,,,,,,,11560,8409,14710,,,,,,,,,,12489,9973,15005,
5059,Arkansas,Hot Spring,,775,11669,10323,13015,0.4968798365,,,,,,,,,,,,,15983,11031,20934,,,,,,,,,,11386,9932,12840,
5061,Arkansas,Howard,,271,11764,9571,13957,0.5242996294,,,,,,,,,,,,,18118,12471,25444,,,,,,,,,,11586,8821,14351,
5063,Arkansas,Independence,,732,10446,9268,11625,0.1423327133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5065,Arkansas,Izard,,299,11277,8882,13671,0.383090399,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5067,Arkansas,Jackson,,398,12868,10877,14859,0.844306717,,,,,,,,,,,,,13412,9443,18487,,,,,,,,,,13478,11019,15936,
5069,Arkansas,Jefferson,,1602,15518,14399,16637,1.6124143446,,,,,,,,,,,,,17057,15532,18583,,,,,,,,,,14106,12306,15906,
5071,Arkansas,Johnson,,521,11861,10345,13378,0.5524859415,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5073,Arkansas,Lafayette,,187,12004,9050,14959,0.5939093446,,,,,,,,,,,,,14620,10000,20639,,,,,,,,,,11570,7320,15821,
5075,Arkansas,Lawrence,,392,13024,11018,15030,0.8895426624,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5077,Arkansas,Lee,,256,17352,14146,20558,2.1440022882,,,,,,,,,,,,,19834,15266,24402,,,,,,,,,,16513,10989,22037,
5079,Arkansas,Lincoln,,267,11422,9325,13519,0.4252442529,,,,,,,,,,,,,9958,6505,14591,,,,,,,,,,12567,9701,15432,
5081,Arkansas,Little River,,305,12101,9771,14431,0.622088263,,,,,,,,,,,,,14425,9335,21295,,,,,,,,,,12551,9699,15402,
5083,Arkansas,Logan,,511,12590,10823,14358,0.7637874728,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5085,Arkansas,Lonoke,,1200,9424,8646,10201,-0.153957886,,,,,,,,,,,,,13544,10085,17808,,,,,,,,,,9629,8778,10479,
5087,Arkansas,Madison,,301,8859,7293,10424,-0.317786822,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5089,Arkansas,Marion,,432,12128,9890,14366,0.6299053949,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5091,Arkansas,Miller,,983,13520,12264,14776,1.0332437238,,,,,,,,,,,,,17430,14682,20178,,,,,,,,,,12760,11252,14269,
5093,Arkansas,Mississippi,,1126,18091,16575,19606,2.3580944536,,,,,,,,,,,,,24071,21124,27018,,,,,,,,,,14939,13141,16737,
5095,Arkansas,Monroe,,201,18305,14089,22521,2.4202669375,,,,,,,,,,,,,25332,18013,34629,,,,,,,,,,14254,9252,19257,
5097,Arkansas,Montgomery,,221,13287,10121,16452,0.9657152967,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5099,Arkansas,Nevada,,185,13006,9813,16200,0.8844459307,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5101,Arkansas,Newton,,183,11270,8253,14287,0.3811052329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5103,Arkansas,Ouachita,,612,13721,11936,15505,1.0914442661,,,,,,,,,,,,,18188,14874,21501,,,,,,,,,,11327,9177,13476,
5105,Arkansas,Perry,,219,10939,8505,13374,0.2852327238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5107,Arkansas,Phillips,,496,19922,17297,22547,2.888927252,,,,,,,,,,,,,22821,19272,26370,,,,,,,,,,14712,10986,18437,
5109,Arkansas,Pike,,236,11062,8735,13389,0.3208226008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
